L	B	RA	DEC	FWHM250	FWHM160	FWHM70
344.2275914966234	-0.5688347303263087	256.0326	-42.311	30.92313050129304	28.412145290350743	26.373471519691904
345.00293873345714	-0.2241859730054628	256.2961	-41.4855	31.737044600907627	29.295904150580505	27.323250172700902
345.4048085500558	-0.9420896328731662	257.3855	-41.595	27.32398200095965	24.446062922048753	22.043593000887284
345.40699705159585	-0.9521013725907745	257.398	-41.5992	33.44547858379877	31.138561908015948	29.290272065983643
345.4871371246026	0.3141456053458673	256.1172	-40.7741	33.44547858379877	31.138561908015948	29.290272065983643
345.5045453076305	0.3480282066788862	256.0956	-40.7397	29.370052294803294	26.71347921554735	24.53405738559116
345.64870155167944	0.008824058557368052	256.5675	-40.8301	30.92313050129304	28.412145290350743	26.373471519691904
347.6278758829539	0.1486098997438713	257.962	-39.1581	28.347839563622077	25.585347524019625	23.300643937987147
348.1825907539102	0.4828753855633098	258.0355	-38.513	30.92313050129304	28.412145290350743	26.373471519691904
348.5494458599121	-0.9790019960207202	259.835	-39.0647	32.5613267542955	30.18691769624716	28.276492003075628
348.696932919305	-1.0283693444077868	259.9958	-38.9721	32.5613267542955	30.18691769624716	28.276492003075628
348.70075465960997	-1.0427648634975586	260.0138	-38.9772	31.41018974045286	28.941493042537562	26.942902952934563
348.72608789351915	-1.039230329903141	260.0287	-38.9544	32.5613267542955	30.18691769624716	28.276492003075628
349.09151053092313	0.10577558535893472	259.1019	-37.9962	30.120424963801558	27.536339626028727	25.427544120500507
350.0094379135729	-1.3401598398326544	261.2744	-38.0674	40.541336450034905	38.66018573616698	37.187631830420834
350.1018994808596	0.08164032112063387	259.8622	-37.1847	28.347839563622077	25.585347524019625	23.300643937987147
350.1114169490069	0.09053898571638148	259.8599	-37.1718	39.529736250759576	37.59800590529524	36.08212920622362
350.5052339262351	0.9582128363551443	259.2577	-36.3501	38.51752672174608	36.532312611719824	34.9702711565184
351.15989252920076	0.6980836581369524	259.9877	-35.9644	29.370052294803294	26.71347921554735	24.53405738559116
351.2437289852576	0.668584779591981	260.0768	-35.9125	38.51752672174608	36.532312611719824	34.9702711565184
351.2509142050613	0.6526655364298186	260.098	-35.9157	30.39078857411598	27.831816867689728	25.74723344665633
351.4161596263212	0.6464034737608282	260.2207	-35.7836	29.32984827782101	26.669270706189174	24.485914318236105
351.4440967697175	0.6578926385650888	260.2287	-35.7541	36.4910942584932	34.38909653047366	32.724913448048035
351.581511908492	-0.3528871895943809	261.355	-36.2123	31.737044600907627	29.295904150580505	27.323250172700902
351.7747418635369	-0.5370121298116982	261.678	-36.1551	30.92313050129304	28.412145290350743	26.373471519691904
353.41031333035556	-0.36110893892892376	262.6104	-34.6961	34.46157332021199	32.22747330623899	30.44536148092755
0.654843361035245	-0.04075444986176475	266.8324	-28.3978	31.41018974045286	28.941493042537562	26.942902952934563
0.6652567859895416	-0.03362592082581179	266.8316	-28.3852	27.32398200095965	24.446062922048753	22.043593000887284
0.6769413096488799	-0.02685897072158708	266.8319	-28.3717	29.32984827782101	26.669270706189174	24.485914318236105
